	MA2-THAI3 HOK-IM TOAN7
	16 TaN goa2 chhe lin2 chhin-chhiuN7 iuN5 ti7 chhai5-long5 e5 tiong-kan; sou2-i2 lin2 tioh8 ti3-sek chhin-chhiuN7 choa5, sun5-liong5 chhin-chhiuN7 chiN2-a2.  17 Chong2-si7 tioh8 ti5-hong5 lang5; in-ui7 in beh chiong lin2 kau hou7 kong-hoe7, iah8 beh ti7 in e5 hoe7-tng5 piN-phah lin2;  18 koh lin2 iah8 beh ui7-tioh8 goa2 e5 ian5-kou3, siu7 thoa kau3 chong2-tok kap kun-ong5 e5 bin7-cheng5, lai5 choe3 kan-cheng3 ti7 in kap goa7-pang lang5.  19 Na7-si7 lin2 siu7 sang3-kau e5 si5, boh8-tit khoa3-lu7 beh chaiN2-iuN7 kong2, a2-si7 kong2 sim2-mih8 oe7; in-ui7 sou2 tioh8 kong2 e5, beh ti7 hit si5 siuN2-su3 lin2.  20 In-ui7 m7 si7 lin2 ka-ki7 kong2, si7 lin2 e5 Pe7 e5 Sin5 tiam3-ti7 lin2 teh kong2.  21 HiaN-ti7 beh chiong hiaN-ti7 sang3-kau khi3 si2, pe7 khoan2-thai7 kiaN2 iah8 an2-ni; kiaN2-ji5 beh khi2-lai5 kong-kek pe7-bu2, hou7 in si2.  22 Iah8 lin2 in-ui7 goa2 e5 mia5 beh hou7 cheng3 lang5 oan3-hun7, tok8-tok8 thun-lun2 kau3 lou7-be2 e5, i beh tit-tioh8 kiu3.  23 Ti7 chit e5 siaN5 khun2-tiok8 lin2, tioh8 chau2 kau3 hit siaN5; goa2 sit8-chai7 ka7 lin2 kong2, I2-sek-liat8 chiah e5 siaN5, lin2 kiaN5 be7 thang3, Jin5-chu2 chiu7 kau3.
	24 Hak8-seng boe7 poaN5-ke3 sian-siN, lou5-pok8 boe7 poaN5-ke3 chu2-lang5.  25 Hak8-seng chhin-chhiuN7 sian-siN, lou5-pok8 chhin-chhiuN7 chu2-lang5, chiu7 kau3-giah8.  Lang5 ki3-jian5 kio3 ke-chu2 choe3 Piat8-se-pok, ho5-hong3 kio3 i ke-lai7 e5 lang5.  26 Sou2-i2 boh8-tit kiaN in; in-ui7 bo5 u7 kham3-bat8 au7-lai5 bo5 lou7-chhut e5 su7; iah8 bo5 u7 un2-bat8 au7-lai5 bou5 hou7 lang5 chai e5.  27 Goa2 ti7 am3-tiong ka7 lin2 kong2 e5, lin2 tioh8 ti7 kng-beng7 e5 sou2-chai7 kong2-chhut; aN3 ti7 hi7-khang ka7 lin2 kong2 e5, tioh8 ti7 chhu3-teng2 thoan5 i.  28 Hiah e5 hai7-si2 sin-khu, boe7 hai7-si2 leng5-hun5 e5, boh8-tit kiaN in; tok8-tok8 hit-e5 oe7 biat8 leng5-hun5 kap sin-khu ti7 te7-gek8 e5, khah tioh8 kiaN.  29 Nng7 chiah chhek-chiau2-a2 kiam2 m7 si7 boe7 chit8 hun gun5 mah? na7 m7 si7 lin2 e5 Pe7 u7 chun2, chit8 chiah iah8 boe7 ka-lauh8 toe7;  30 chiu7 lin2 e5 thau5-mng5 iah8 long2 ke3-sng3.  31 Sou2-i2 lin2 boh8-tit kiaN; lin2 pi2 choe7-choe7 chhek-chiau2-a2 khah kui3-khi3.  32 Sou2-i2 kiN3-na7 ti7 lang5 e5 bin7-cheng5 jin7 goa2 e5, goa2 iah8 ti7 goa2 ti7 thiN-nih8 e5 Pe7 e5 bin7-cheng5 beh jin7 i.  33 KiN3-na7 ti7 lang5 e5 bin7-cheng5 m7 jin7 goa2 e5, goa2 iah8 ti7 goa2 ti7 thiN-nih8 e5 Pe7 e5 bin7-cheng5 beh m7 jin7 i.
	34 Boh8-tit phah-sng3 goa2 lai5 si7 beh hou7 toe7-chiuN7 ho5-peng5; goa2 lai5 m7 si7 beh hou7 i ho5-peng5, chiu7-si7 hiat-loh8 to-kiam3.  35 In-ui7 goa2 lai5, si7 hou7 kiaN2 kap i e5 lau7-pe7 choat8-cheng5, cha-bou2-kiaN2 kap i e5 lau7-bu2, sim-pu7 kap i e5 ta-ke, iah8 beh an2-ni.  36 Koh lang5 e5 tui3-tek8 chiu7-si7 i ka-ki7 ke-lai7 e5 lang5.  37 ThiaN3 pe7-bu2 khah ke3-thau5 ti7 thiaN3 goa2 e5, boe7 kham-tit ti7 goa2;  thiaN3 kiaN2 cha-bou2-kiaN2 khah ke3-thau5 ti7 thiaN3 goa2 e5, boe7 kham-tit ti7 goa2;  38 m7 pe7 ka-ki7 e5 sip8-ji7-ke3 lai5 te3 ti7 goa2 e5 au7-bin7 e5, iah8 boe7 kham-tit ti7 goa2.  39 Tit-tioh8 i e5 siN3-mia7 e5 lang5, beh sit-loh8 i; ui7-tioh8 goa2 sit-loh8 i e5 siN3-mia7 e5 lang5, beh tit-tioh8 i.
	40 Chiap-lap8 lin2 e5, chiu7-si7 chiap-lap8 goa2; chiap-lap8 goa2 e5, chiu7-si7 chiap-lap8 chhe goa2 e5. 41 Ui7-tioh8 sian-ti e5 mia5 lai5 chiap-lap8 sian-ti e5, beh tit-tioh8 sian-ti e5 siuN2; ui7-tioh8 gi7 lang5 e5 mia5 lai5 chiap-lap8 gi7 lang5 e5, beh tit-tioh8 gi7 lang5 e5 siuN2.  42 KiN3-na7 ui7-tioh8 hak8-seng e5 mia5, kan-ta eng7 chit8 poe leng2 chui2 hou7 chiah e5 soe3-kiaN2 e5 chit8 e5 lim e5, goa2 sit8-chai7 ka7 lin2 kong2, i koat-toan3 boe7 sit-loh8 i e5 siuN2.

11	Ia5-sou hoan-hu3 I chap8-ji7 e5 hak8-seng beng5-pek8, chiu7 li7-khui hia, beh ti7 in hiah e5 siaN5 ka3-si7 lang5 kap thoan5-to7.
	2 Iok-han7 ti7 kaN-nih8 thiaN-kiN3 Ki-tok sou2 kiaN5 e5 su7; chiu7 chhe hak8-seng mng7 I kong2,  3 Sou2 beh lai5 e5, si7 li2 mah? a2-si7 goan2 tioh8 ng3-bang7 pat8 lang5 ah?  4 Ia5-sou in3 kong2, Lin2 tioh8 khi3, chiong lin2 sou2 thiaN-kiN3 sou2 khoaN3-kiN3 e5, ka7 Iok-han7 kong2;  5 chiu7-si7 chhiN-mi5 e5 khoaN3-kiN3, pai2-kha e5 kiaN5, thai2-ko e5 chheng-khi3, chhau3-hi7-lang5 e5 thiaN-kiN3, si2 e5 lang5 koh-oah8, song3-hiong lang5 tit-tioh8 thiaN hok-im.  6 KiN3-na7 bo5 ti7 goa2 lai5 tioh8-tak e5, u7 hok-khi3.
	7 In khi3 e5 si5, Ia5-sou chiah the5-khi2 Iok-han7, ka7 cheng3 lang5 kong2, Lin2 cheng5 chhut-khi3 khong3-ia2, beh khoaN3 sim2-mih8?  Si7 lou5-tek hou7 hong chhe tin2-tang7 mah?  8 Lin2 chhut-khi3 ai3 khoaN3 sim2-mih8?  Si7 lang5 chheng7 iu3-nng2 e5 i-chiuN5 mah?  Li2 khoaN3, chheng7 iu3-nng2 e5 si7 ti7 ong5-kiong.  9 Na7-si7 an2-ni lin2 chhut-khi3 beh siaN2-su7?  Si7 beh khoaN3 sian-ti mah?  Si7 lah.  Goa2 ka7 lin2 kong2, i si7 iau2 khah iaN5-ke3 sian-ti.  10 Chit lang5 chiu7-si7 keng-nih8 sou2 chi2 e5, kong2,
	Goa2 chhe goa2 e5 su3-chia2 ti7 li2 e5 bin7-cheng5;
	I beh ti7 li2 e5 thau5-cheng5 pi7-pan7 li2 e5 lou7.
11 Goa2 sit8-chai7 ka7 lin2 kong2, Hu7-jin5-lang5 sou2 siN e5, chiong5-tiong be7 u7 heng-khi2 khah toa7 ti7 kiaN5 soe2-le2 e5 Iok-han7;  chong2-si7 ti7 thian-kok e5 bi5-soe3 e5, iau2 khah toa7 i.  12 Tui3 kiaN5 soe2-le2 Iok-han7 e5 si5-jit8 kau3 taN, thian-kok hou7 lang5 kiong5-kiong5 chhu2, kiong5 e5 lang5 eng7 lat8 chhu2 i.  13 In-ui7 cheng3 sian-ti kap lut8-hoat u7 chham3-gu2 kau3 Iok-han7 e5 si5.  14 Lin2 na7 kam-goan7 seng5-siu7, chit lang5 chiu7-si7 teh-beh lai5 e5 I2-li7-a.  15 U7 hi7-khang thang thiaN e5, tioh8 thiaN.  16 Chit se3-tai7, goa2 beh eng7 sim2-mih8 lai5 pi2-pheng7 i?  Si7 chhin-chhiuN7 gin2-na2 che7 ti7 koe-chhi7-nih8, lai5 kio3 in e5 tang5-phoaN7 kong2,  17 Goan2 tui3 lin2 pun5 tat8-a2, lin2 bo5 thiau3-bu2;  goan2 bat pi-ai, lin2 bo5 tui5 heng.  18 In-ui7 Iok-han7 lai5, bo5 chiah8 bo5 lim; lang5 chiu7 kong2, I hoan7-tioh8 kui2.  19 Jin5-chu2 lai5 iah8 chiah8 iah8 lim; lang5 chiu7 kong2, I si7 tham-chiah8 houN3-chiu2 e5 lang5, thiu-hiong3 kap phaiN2 lang5 e5 peng5-iu2.  Na7-si7 Ti3-hui7 tui3 i e5 sou2 kiaN5 hian2-beng5 i si7 tioh8.
	20 Ia5-sou bat ti7 hiah e5 siaN5 kiaN5 choe7-choe7 koan5-leng5, in-ui7 in long2 bo5 hoan2-hoe2, hit si5 chiah chek-pi7 in kong2,  21 Ko-liap8-sin3 ah, li2 u7 chai-e7!  Pek-sai3-tai7 ah, li2 u7 chai-e7!  in-ui7 ti7 lin2 tiong-kan sou2 kiaN5 chiah e5 koan5-leng5, na7 u7 kiaN5 ti7 Chhui-lo5 kap Se-tun3, in chiu7 cha2-cha2 chheng7 moa5 saN sam2 he2-hu lai5 hoan2-hoe2.  22 Na7-si7 goa2 ka7 lin2 kong2, tng sim2-phoaN3 e5 jit8, Chhui-lo5 kap Se-tun3 pi2 lin2 iau2 khah khoai3 tam-tng.  23 Ka-pek-long5 ah, li2 kiam2 oe7 tit-tioh8 ku2-khi2 kau3 thiN mah?  li2 beh tui7-loh8 im-hu2; in-ui7 ti7 li2 e5 tiong-kan sou2 kiaN5 chiah e5 koan5-leng5, na7 u7 kiaN5 ti7 Sou2-to-ma2, chiu7 kau3 kin-a2-jit8 i iau2 ti7-teh.  24 Na7-si7 goa2 ka7 lin2 kong2, tng sim2-phoaN3 e5 jit8, Sou2-to-ma2 e5 toe7-hng pi2 li2 khah khoai3 tam-tng.
	25 Tng hit si5 Ia5-sou in3 kong2, Pe7 ah, thiN toe7 e5 Chu2, goa2 o-lo2 li2, in-ui7 li2 chiong chiah e5 su7, tui3 ti3-hui7 chhang-mia5 e5 u7 un2-bat8 i, tui3 soe3-kiaN2 u7 hian2-beng5 i;  26 Pe7 ah, si7 lah; in-ui7 li2 khoaN3 an2-ni choe3 hoaN-hi2.  27 Ban7-hang7-u7 tui3 goa2 e5 Pe7 kau-hu3 goa2, Pe7 i2-goa7 bo5 chit8-e5 bat KiaN2;  KiaN2 kap KiaN2 sou2 ai3 beh chi2-si7 e5 i2-goa7, bo5 chit8-e5 bat Pe7.  28 Lin2 kiN3-na7 tioh8-boa5 taN tang7-taN3 e5, tioh8 chiu7-kun7 goa2; goa2 beh hou7 lin2 an-hioh.  29 Goa2 sim-lai7 un-jiu5 khiam-sun3; lin2 pe7 goa2 e5 taN, lai5 tui3 goa2 oh8, chiu7 lin2 e5 sim-sin5 oe7 tit-tioh8 an-hioh.  30 In-ui7 goa2 e5 taN si7 khoai3, goa2 e5 taN3 si7 khin.

12	Tng hit si5, Ia5-sou ti7 an-hioh-jit8 tui3 beh8-hng5 keng-ke3; I e5 hak8-seng iau, chiu7 tiah beh8-sui7 lai5 chiah8.  2 Na7-si7 Hoat-li7-sai3 lang5 khoaN3-kiN3 chiu7 ka7 I kong2, Li2 khoaN3, li2 e5 hak8-seng kiaN5 an-hioh-jit8 sou2 m7 eng-kai kiaN5 e5 su7.  3 Ia5-sou chiu7 ka7 in kong2, Tai7-pit8 kap kun-te3 e5 lang5 iau e5 si5 sou2 kiaN5 e5, lin2 bo5 thak8-tioh8 mah?  4 Chiu7-si7 i jip8 Siong7-te3 e5 chhu3, chiah8 pai5-liat8 e5 piaN2; che m7 si7 i kap kun-te3 e5 lang5 sou2 thang chiah8 e5, tok8-tok8 che3-si thang na7-tiaN7.  5 A2-si7 lin2 iah8 m7 bat thak8 lut8-hoat sou2 ki3-chai3, tng an-hioh-jit8 che3-si ti7 tian7-nih8 hoan7-tioh8 an-hioh iah8 si7 bo5 choe7 mah?  6 Tok8-tok8 goa2 ka7 lin2 kong2, ti7 chia u7 pi2 tian7 khah toa7 e5.  7 Chong2-si7 lin2 na7 chai, Goa2 ai3 lin5-bin2, bo5 ai3 che3-su7, chit ku3 e5 i3-gi7, chiu7 bo5 chek-choe7 bo5 choe7 e5 lang5.  8 In-ui7 Jin5-chu2 si7 an-hioh-jit8 e5 chu2.
	9 Ia5-sou li7-khui hia, jip8 in e5 hoe7-tng5; tu2-tng7 u7 lang5 chit8 chhiu2 kou-ta5.  10 Lang5 mng7 I kong2, An-hioh-jit8 heng5 i, thang mah?  i3-su3 ai3 beh ko3 I.  11 I chiu7 ka7 in kong2, Lin2 tiong-kan sim2-mih8 lang5 u7 chit8 chiah iuN5, na7 ti7 an-hioh-jit8 poah8-loh8 khiN, bo5 ka7 i liah8-khi2-lai5 mah?  12 Ho5-hong3 lang5 pi2 iuN5 ke joa7 kui3-khi3 ah!  Sou2-i2 an-hioh-jit8 kiaN5 ho2-su7 si7 thang.  13 Chiu7 ka7 hit lang5 kong2, Chhun li2 e5 chhiu2.  I chiu7 chhun, sui5-si5 ho2-ho2, chhin-chhiuN7 pat8 ki chhiu2.  14 Hoat-li7-sai3 lang5 chhut-khi3, saN-kap ke3-bou5 kong-kek Ia5-sou, khoaN3 thang chaiN2-iuN7 biat8 I.
	15 Ia5-sou chai, chiu7 the3-khi3, li7-khui hia; u7 choe7-choe7 lang5 te3 I, chiu7 long2 ka7 in i;  16 iah8 keng2-kai3 in boh8-tit chiong I po3-iong5;  17 si7 beh eng3-giam7 thok sian-ti I2-sai3-a sou2 kong2 e5, kong2,
	18 Li2 khoaN3, goa2 e5 lou5-pok8, goa2 sou2 keng2 e5,
	Goa2 sou2 thiaN3 e5, goa2 e5 sim sou2 hoaN-hi2 e5;
	Goa2 beh chiong goa2 e5 Sin5 hu3-hou7 I.
	I beh eng7 phoaN3-toan3 thong-ti goa7-pang.
	19 I bo5 beh saN-chiN, bo5 beh soan-jiong2;
	Ti7 koe-chhi7 bo5 lang5 thiaN-kiN3 I e5 siaN.
	20 Siu7-siong e5 lou5-tek I bo5 beh at-chih8,
	Beh hoa e5 he2-chhiN, I bo5 phah-sit,
	Kau3 hou7 kong-gi7 oe7 tek-seng3.
	21 Goa7-pang iah8 beh kho3 I e5 mia5 lai5 ng3-bang7.
	22 Hit si5 u7 chhoa7 chit8 e5 hoan7-tioh8 kui2, chhiN-mi5 koa3 e2-kau2 e5 lai5 chiu7-kun7 I.  I chiu7 i-ho2 i, hou7 e2-kau2 e5 kong2 oe7, soa3 oe7 khoaN3-kiN3.  23 Cheng3 lang5 long2 gong5-ngiah8, kong2, chit-e5 chong2-bo5 si7 Tai7-pit8 e5 hou7-e3 ouh?  24 Na7-si7 Hoat-li7-sai3 lang5 thiaN-kiN3 chiu7 kong2, Chit lang5 koaN2 kui2 bo5 m7 si7 kho3 kui2-ong5 Piat8-se-pok.  25 Ia5-sou chai in e5 i3-su3, chiu7 ka7 in kong2, KiN3-na7 kok ka-ki7 cheng-piaN3, oe7 ti3-kau3 pha-hng; kiN3-na7 siaN5 a2-si7 ke ka-ki7 cheng-piaN3, tek-khak khia7 boe7 tiau5.  26 Na7 Sat-tan3 koaN2 Sat-tan3, si7 ka-ki7 cheng-piaN3, i e5 kok thai2-tho2 khia7 oe7 tiau5?  27 Siat-su2 goa2 kho3 Piat8-se-pok koaN2 kui2, chiu7 lin2 e5 chu2-te7 koaN2 kui2 oa2-kho3 chi7-chui7 ah?  An2-ni in beh gi2-toan3 lin2.  28 Tok8-tok8 goa2 na7 kho3 Siong7-te3 e5 Sin5 koaN2 kui2, chiu7 Siong7-te3 e5 kok i2-keng kau3 lin2 lah.  29 Lang5 chaiN2-iuN7 oe7 jip8 beng2 lang5 e5 chhu3, kiap i e5 ke-he2?  kiam2 m7 tioh8 tai7-seng pak8 beng2 lang5, jian5-au7 kiap i e5 chhu3 mah?  30 Bo5 tang5 goa2 e5, chiu7-si7 tui3-tek8 goa2; bo5 kap goa2 siu-khioh e5, chiu7-si7 teh phah-soaN3.  31 Sou2-i2 goa2 ka7 lin2 kong2, KiN3-na7 choe7-ok pong3-tok8, long2 beh sia3-bian2 i;  tok8-tok8 pong3-tok8 Seng3 Sin5 e5, bo5 beh sia3-bian2 i.  32 KiN3-na7 kong2 oe7 kong-kek Jin5-chu2 e5, beh sia3-bian2 i;  tok8-tok8 kiN3-na7 kong2 oe7 kong-kek Seng3 Sin5 e5, put-lun7 kim-se3 lai5-se3, bo5 beh sia3-bian2 i.  33 Lin2 tioh8 liah8 hit e5 chhiu7 choe3 ho2, i e5 ke2-chi2 iah8 choe3 ho2; hek8-si7 liah8 hit e5 chhiu7 choe3 phaiN2, i e5 ke2-chi2 iah8 choe3 phaiN2; in-ui7 tui3 ke2-chi2 lai5 bat chhiu7.  34 Tok8-choa5 e5 lui7 ah, lin2 i2-keng si7 phaiN2, thai2 oe7 kong2 ho2 oe7?  in-ui7 si7 tui3 sim sou2 chhiong-moa2 e5, chhui3 chiu7 kong2 chhut.  35 Ho2 lang5 tui3 sou2 chek-chu7 e5 ho2, lai5 hoat-chhut chiah e5 ho2; phaiN2 lang5 tui3 sou2 chek-chu7 e5 phaiN2, lai5 hoat-chhut chiah e5 phaiN2.  36 Goa2 ka7 lin2 kong2, kiN3-na7 lang5 sou2 kong2 e5 eng5-a2-oe7, in ti7 sim2-phoaN3 e5 jit8, tak8 ku3 tioh8 sou3-beng5.  37 In-ui7 tui3 li2 e5 oe7 beh chheng li2 choe3 gi7; iah8 tui3 li2 e5 oe7 beh gi2 li2 u7 choe7.
	38 Hit si5 u7 keng-hak8-su7 kap Hoat-li7-sai3 kui2-na7 lang5 in3 I kong2, Sian-siN ah, goan2 ai3 tui3 li2 khoaN3 chit8 e5 sin5-jiah.  39 Na7-si7 I in3 kong2, Ok-tok8 kan-im5 e5 se3-tai7 kiu5 sin5-jiah; tu5 sian-ti Iok-na2 e5 sin5-jiah i2-goa7, bo5 beh sin5-jiah hou7 in;  40 in-ui7 chhin-chhiuN7 Iok-na2 saN jit8 saN mi5 ti7 toa7 hi5 e5 pak-tou2 lai7, Jin5-chu2 iah8 beh an2-ni saN jit8 saN mi5 ti7 toe7-lai7.  41 Ni5-ni5-bi5 lang5 tng sim2-phoaN3 e5 si5, beh kap chit se3-tai7 e5 lang5 saN-kap khi2-lai5, soa3 gi2 in e5 choe7; in-ui7 in tui3 Iok-na2 sou2 thoan5 lai5 hoan2-hoe2; ho5-hong3 ti7 chia u7 pi2 Iok-na2 khah toa7 e5.  42 Lam5-hng e5 lu2-ong5, tng sim2-phoaN3 e5 si5 beh kap chit se3-tai7 e5 lang5 saN-kap khi2-lai5, soa3 gi2 in e5 choe7; in-ui7 i tui3 toe7 e5 kek8-thau5 lai5, beh thiaN Sou2-lo5-bun5 ti3-sek e5 oe7, ho5-hong3 ti7 chia u7 pi2 Sou2-lo5-bun5 khah toa7 e5.  43 Sia5-sin5 i2-keng li7-khui lang5, keng-ke3 bo5 chui2 e5 toe7, kiu5 an-hioh iah8 bo5 tit-tioh8.  44 Chiu7 kong2, Goa2 beh to3-khi3 sou2 chhut-lai5 e5 chhu3; kau3 te3, chiu7 khoaN3-kiN3 khang-khang, piaN3-sau3, siu-cheng2;  45chiu7 khi3, koh toa3 chhit e5 sin5, pi2 ka-ki7 khah phaiN2 e5, jip8-khi3 khia7-khi2; hit lang5 lou7-be2 e5 keng2-hong2, pi2 khi2-thau5 e5 khah chham2.  Chit e5 phaiN2 e5 se3-tai7 iah8 beh chhin-chhiuN7 an2-ni.
	46 I iau2 tui3 cheng3 lang5 kong2 oe7 e5 si5, tu2-tng7 I e5 lau7-bu2 kap I e5 hiaN-ti7 khia7 ti7 goa7-bin7, ai3 beh kap I kong2 oe7.  47 U7 lang5 ka7 I kong2, Li2 khoaN3, li2 e5 lau7-bu2 kap li2 e5 hiaN-ti7 khia7 ti7 goa7-bin7, ai3 beh kap li2 kong2 oe7.  48 Chiu7 in3 hit e5 ka7 I kong2 e5 kong2, Sim2-mih8 lang5 si7 goa2 e5 lau7-bu2? sim2-mih8 lang5 si7 goa2 e5 hiaN-ti7 ah?  49 Chiu7 chhun chhiu2 ki2 I e5 hak8-seng kong2, Li2 khoaN3, goa2 e5 lau7-bu2 kap goa2 e5 hiaN-ti7.  50 In-ui7 kiN3-na7 kiaN5 goa2 ti7 thiN-nih8 e5 Pe7 e5 chi2-i3 e5, chiu7-si7 goa2 e5 hiaN-ti7, chi2-be7, kap lau7-bu2.

13	Tng hit jit8, Ia5-sou tui3 chhu3-lai7 chhut-khi3, che7 ti7 hai2-piN.  2 U7 choe7-choe7 tin7 e5 lang5 chu7-chip8 chiu7-kun7 I, ti3-kau3 I chiuN7 chun5 lai5 che7, kui tin7 e5 lang5 long2 khia7 ti7 hoaN7-nih8.  3 Chiu7 eng7 choe7-choe7 hang7 siat phi3-ju7 ka7 in kong2,  4 Li2 khoaN3, u7 ia7 cheng2 e5 chhut-khi3 ia7 cheng2; ia7 e5 si5, u7-e5 ka-lauh8 ti7 lou7-piN, pe-chiau2 kau3, it-chin7 chiah8 i;  5 u7-e5 ka-lauh8 ti7 chioh8-keh e5 toe7, thou5 chhian2 e5 ui7;  in-ui7 thou5 bo5 chhim, chiu7 hoat chin kin2;  6 na7-si7 jit8 chhut phak8 i; in-ui7 bo5 kun, chiu7 kou-ta5.  7 Iah8 u7-e5 ka-lauh8 ti7 chhi3-a2-lai7, chhi3-a2 hoat-khi2 jia-pe3 i;  8 u7-e5 ka-lauh8 ti7 ho2 e5 thou2-toe7, kiat-sit8, u7-e5 pah pe7, u7-e5 lak8-chap8 pe7, u7-e5 saN-chap8 pe7.  9 U7 hi7-khang e5, tioh8 thiaN.
	10 Hak8-seng chiu7-kun7 I kong2, Li2 eng7 phi3-ju7 ka7 in kong2 si7 chaiN2-iuN7?  11 I in3 kong2, Thian-kok e5 o3-biau7 hou7 lin2 chai, iah8 bo5 hou7 in.  12 In-ui7 kiN3-na7 u7 e5, beh hou7 i, chiu7 i u7 chhun; bo5 e5, lian5 i sou2 u7 e5 iah8 beh chhiuN2 i.  13 Sou2-i2 goa2 eng7 phi3-ju7 ka7 in kong2; in-ui7 in khoaN3, iah8 khoaN3 bo5 kiN3; thiaN, iah8 thiaN bo5 hian7, iah8 bo5 hiau2-ngou7.  14 I2-sai3-a sou2 chham3-gu2 e5, si7 eng3-giam7 ti7 in, kong2,
	Lin2 thiaN si7 beh thiaN, na7-si7 koat-toan3 bo5 hiau2-ngou7;
	Lin2 khoaN3 si7 beh khoaN3, na7-si7 koat-toan3 khoaN3 bo5 kiN3;
	15 In-ui7 chit e5 peh-siN3 sim tun7, Hi7-khang tang7,
	In e5 bak8-chiu pang3 khoeh;
	KiaN-liau2 in eng7 bak8-chiu khoaN3-kiN3,
	Eng7 hi7-khang thiaN-kiN3,
	Eng7 sim hiau2-ngou7,
	Lai5 oat8-lin3-tng2,
	Goa2 chiu7 i-ho2 in.
	16 Na7-si7 lin2 e5 bak8-chiu u7 hok-khi3, in-ui7 in khoaN3-kiN3; lin2 e5 hi7-khang u7 hok-khi3, in-ui7 in thiaN-kiN3.  17 In-ui7 goa2 sit8-chai7 ka7 lin2 kong2, Cheng5 u7 choe7-choe7 sian-ti kap gi7 lang5, ai3 khoaN3 lin2 sou2 khoaN3-kiN3 e5, iah8 bo5 khoaN3-kiN3; ai3 thiaN lin2 sou2 thiaN-kiN3 e5, iah8 bo5 thiaN-kiN3.
	18 TaN chit-e5 ia7 cheng2-chi2 e5 e5 phi3-ju7, lin2 tioh8 thiaN.  19 KiN3-na7 thiaN thian-kok e5 to7-li2 ia7 bo5 hiau2-ngou7 e5, hit e5 phaiN2-e5 chiu7 kau3, chiong sou2 ia7 ti7 i e5 sim e5 chhiuN2-khi3; che si7 ia7 ti7 lou7-piN e5.  20 Ia7 ti7 chioh8-keh e5 toe7 e5, che si7 lang5 thiaN to7-li2, liam5-piN hoaN-hi2 seng5-siu7 i;  21 chong2-si7 lai7-bin7 bo5 kun, put-ko3 si7 chiam7-si5 na7-tiaN7; kau3 ui7-tioh8 to7-li2 tu2-tioh8 u7 hoan7-lan7 khun2-tiok8 liam5-piN tioh8-tak.  22 Ia7 ti7 chhi3-a2-lai7 e5, che si7 lang5 thiaN to7-li2, iah8 se3-kan e5 khoa3-lu7, chiN5-chai5 e5 be5-hek8, jia-pe3 hit e5 to7-li2, chiu7 bo5 kiat-sit8.  23 Ia7 ti7 ho2 thou2-toe7 e5, che si7 lang5 thiaN to7-li2 lai5 hiau2-ngou7, i sit8-chai7 kiat-sit8; sou2 kiat e5, u7-e5 pah pe7, u7-e5 lak8-chap8 pe7, u7-e5 saN-chap8 pe7.
	24 Koh siat phi3-ju7 tui3 in kong2, Thian-kok chhin-chhiuN7 lang5 ia7 ho2 cheng2-chi2 ti7 i e5 hng5;  25 lang5 khun3 e5 si5, i e5 kiu5-siu5 lai5, ia7 phoe7 ti7 beh8 tiong, chiu7 khi3.  26 Kau3 beh8 hoat-khi2-lai5, soa3 kiat sui7 e5 si5, phoe7 iah8 chhut-hian7.  27 Ke-chu2 e5 lou5-pok8 lai5 ka7 i kong2, Thau5-ke ah, li2 kiam2 m7 si7 ia7 ho2 cheng2-chi2 ti7 li2 e5 hng5 mah? tui3 ta2-loh8 u7 phoe7?  28 I ka7 in kong2, Che si7 kiu5-siu5 choe3 e5.  Lou5-pok8 ka7 i kong2, Li2 ai3 goan2 khi3 khau i mah?  29 I chiu7 kong2, Bo5, kiaN-liau2 lin2 khau phoe7, lian5 beh8 soa3 puih8-khi2-lai5.  30 Iong5-un2 nng7 hang7 piN5-piN5 toa7 chang5, theng3-hau7 siu-koah; kau3 siu-koah e5 si5, goa2 beh ka7 koah-e5 kong2, Tai7-seng khiok hiah e5 phoe7, ha5 kui pe2 thang sio i;  tok8-tok8 beh8 tioh8 siu-jip8 goa2 e5 chhek-chhng.
	31 Koh siat phi3-ju7 tui3 in kong2, Thian-kok chhin-chhiuN7 chit8 liap8 koa3-chhai3 chi2, lang5 theh8 khi3 ia7 ti7 i e5 hng5;  32 chit-e5 si7 pah hang7 cheng2-chi2 e5 te7 it soe3;  kau3 i toa7 chang5, si7 khah toa7 long2-chong2 e5 chhai3-soe, soa3 chiaN5 choe3 chhiu7, ti3-kau3 khong-tiong e5 chiau2 lai5 hioh ti7 i e5 ki.
	33 Koh eng7 phi3-ju7 ka7 in kong2, Thian-kok chhin-chhiuN7 kaN3, hu7-jin5-lang5 theh8 khi3 khng3 ti7 saN tau2 mi7-hun2 e5 lai7-bin7, kau3 long2 hoat kaN3.
	34 Chiah-e5 long2 si7 Ia5-sou eng7 phi3-ju7 ka7 cheng3 lang5 kong2; na7 m7 si7 eng7 phi3-ju7, chiu7 bo5 sou2 ka7 in kong2;  35 lai5 eng3-giam7 cha2 thok sian-ti sou2 kong2 e5, kong2,
	Goa2 beh khui chhui3 siat phi3-ju7,
	Chhian2-beng5 chhong3-cho7 se3-kan i2-lai5 sou2 un2-bat8 e5.
